activity,alley_condition,bbl_hotel,bbl_multifamily_rental,bbl_restaurant,bbl_single_family_rental,bbl_storage,bbl_two_family_rental,communitygarden_area,communitygarden_id,dcrapermit_addition,dcrapermit_demolition,dcrapermit_excavation,dcrapermit_new_building,dcrapermit_raze,impervious_area,month,num_mixed_use,num_non_residential,num_residential,park,pct_mixed_use,pct_non_residential,pct_residential,pop_density,sidewalk_grates,ssl_cndtn_Average_comm,ssl_cndtn_Average_res,ssl_cndtn_Excellent_comm,ssl_cndtn_Excellent_res,ssl_cndtn_Fair_comm,ssl_cndtn_Fair_res,ssl_cndtn_Good_comm,ssl_cndtn_Good_res,ssl_cndtn_Poor_comm,ssl_cndtn_Poor_res,ssl_cndtn_VeryGood_comm,ssl_cndtn_VeryGood_res,tot_pop,well_activity,WARD
0.0,17.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16471.0633009,1,0.0,5.0,41.0,0.0,0.0,0.108695652174,0.891304347826,47300.1646155,12.0,0.5,0.53125,0.5,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.09375,303,2.0,1
0.0,13.0,1.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32094.7281308,1,0.0,4.0,21.0,1.0,0.0,0.16,0.84,45815.5784443,3.0,0.428571428571,0.888888888889,0.0,0.0,0.14285714285700002,0.0,0.28571428571400004,0.0,0.0,0.0,0.14285714285700002,0.111111111111,542,1.0,1
1.0,16.0,1.0,2.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33099.7885144,1,3.0,25.0,38.0,0.0,0.0454545454545,0.37878787878799997,0.575757575758,24144.1379172,16.0,0.6842105263160001,0.962962962963,0.052631578947400004,0.0,0.0,0.0,0.263157894737,0.037037037037,0.0,0.0,0.0,0.0,301,15.0,1
1.0,8.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17124.6789389,1,1.0,9.0,45.0,0.0,0.0181818181818,0.163636363636,0.8181818181820001,50996.59437019999,13.0,0.5714285714289999,0.7272727272730001,0.14285714285700002,0.0,0.0,0.181818181818,0.28571428571400004,0.0909090909091,0.0,0.0,0.0,0.0,312,0.0,1
0.0,21.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22628.4024067,1,3.0,7.0,35.0,0.0,0.06666666666669999,0.155555555556,0.777777777778,71549.3223282,12.0,0.0,0.2,0.166666666667,0.0,0.0,0.0,0.666666666667,0.6,0.0,0.0,0.166666666667,0.2,614,0.0,2
1.0,8.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15381.1403012,1,0.0,2.0,46.0,0.0,0.0,0.0416666666667,0.958333333333,17009.021851499998,3.0,1.0,0.116279069767,0.0,0.0,0.0,0.023255813953499998,0.0,0.860465116279,0.0,0.0,0.0,0.0,67,0.0,2
1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15187.2260817,1,0.0,6.0,48.0,0.0,0.0,0.111111111111,0.888888888889,21442.128070299997,2.0,1.0,0.7021276595739999,0.0,0.0,0.0,0.0212765957447,0.0,0.276595744681,0.0,0.0,0.0,0.0,121,0.0,6
0.0,13.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21110.6384228,1,1.0,7.0,72.0,0.0,0.0125,0.0875,0.9,25122.3133624,0.0,1.0,0.7894736842110001,0.0,0.0,0.0,0.0701754385965,0.0,0.105263157895,0.0,0.017543859649099998,0.0,0.017543859649099998,204,4.0,5
1.0,23.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17796.429167299997,1,0.0,0.0,92.0,0.0,0.0,0.0,1.0,26334.2519394,0.0,0.0,0.6593406593410001,0.0,0.0,0.0,0.0549450549451,0.0,0.252747252747,0.0,0.0,0.0,0.032967032967,219,0.0,5
0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10355.318645399999,1,0.0,5.0,37.0,0.0,0.0,0.119047619048,0.880952380952,23644.9848761,0.0,1.0,0.655172413793,0.0,0.0,0.0,0.0,0.0,0.344827586207,0.0,0.0,0.0,0.0,96,0.0,6
